Protected_Name,Predicted_Original_Name,Protected_Identifier,Predicted_Original_Identifier
c8b4c30e6fcdbaa4e0d1c3db732cb222,Vyanjana Jaggi,bb0fe6d06cc153b8635440fd3638b589,17435
afdff0db61720290465c6e30ac45ba92,Anthony Grover,9f8921b372a89bdb616b822e3137e87d,3177
2b379af688ea4197b678316f376d1764,Frederick Savant,6b8de0031bb7c14e2d4a9305c5c50b23,8668
76fb68f64365f4c4d4ae96e208a3550c,Mugdha Datta,51693f158b2adacfc664eecc6681caa2,18320
6bdce18db7dad925adcba8f31fe46c6b,Rohan Kuruvilla,3f37d5d38725084a3f9fc2e3324a5132,19698
edce80222fca9e5d6dd9e9608331c342,Onveer Rattan,9dc6a1f8d2fb68eeba7bdc4f1eb4e576,7238
af3755083f57b4b922da422542d262e9,Guneet Mitter,7cd85869e5db6647562bf7a3e86f6c37,8577
5f69476ae461acfbc3b3e3137175e32e,Urmi Manda,5f18d59225b1e2cfaa1e6a50c7369ec4,2376
0b862888ca0aef1ee3270bcd6103be76,Upma Devan,879ea2796751538faa1a5698a192a4c6,742
2d4b39e49bd0647d79f45d1e6ce21da8,Gautami Deo,e91294271a528e6efa57d9b297994d68,5053
3e717c5afa299cfd0574a4a67057f4af,Champak Sethi,dcee11ce6b97bbdafa4a746b3d3b2fdb,16254
fb4009989e1059928472a57e64c70666,Charan Venkataraman,7cb69c900476d6d0cb18416182e76c3a,7879
f46c651e81b650de5e8126a4a4049635,Nitara Bhat,b6e0b8497a2a36ccb95e2559d72cbbc7,16441
ae1b5b1ce974e84917187be8dc970268,Nathaniel Palla,fa60e802b8ac37aafdf2d699d60600ab,16296
28d9abf30093c7b2c592cce1bd548490,Ekansh Das,838ab2b612f42e1d11fb4ae2a59475e7,12566
b4ffaaae0703499cdfb1df1694bd93d4,Ayush Kala,eb7b14f782bfd39cee24300b36d26eb5,4649
b857e187a66f7732e65e7ab7227c8a36,Ryan Parsa,1d5b8a50f18bb5c0b14b24480f6038e2,19393
64992df352a667c89cbfaa25e4c84856,Yash Chopra,8ec6e8d4aac5b0f6bbc45a607515d87c,16796
d5cf291e21864d5594dc94f499ec702c,Ekavir Nath,b5f9c2aede8b30cdb7d1972b3731b571,1511
b625a210ac801af7f35143fd306069aa,Gaurangi Tella,7eeed4b367bbc09a55ea0da47f3fedcf,11627
a84aae4ae9bda4c1459fea1b7e096ed4,Aadi Kota,304fd6a6017b62f29ee2c37c960ad6b2,9923
8534118f9712a65e9d27b393e0c360f7,Vaishnavi Pathak,40b65d593459dda183d931400f1c4876,7725
b1d497e445378a6f982cee56569a1d09,Charita Ghose,d68518a47b09f8ef23c5e66bc2f0e7ce,19024
86dbf327f6a5a85420de9ae0193b56af,Xalak Chad,ac6b62552fd7a33d20ff90478b60ccf5,17553
a4098019bd70d795697ee0aac943c3f2,Manbir Behl,a195d35dc1ccfd713501329147111b1b,9119
2167fa25fcb0e5407346412600e55302,Faqid Bhat,117e42dff8c6dbc6a7a33208ad824a6c,16421
846c2f84b3dcef969d1976d0800c003d,Ishani Halder,a370d1cb2211e4d2883595e3d7033aaa,16060
